[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048576}, {wDesc:1048577}, {convDesc:1048579}, {algo:1}, {workSpaceSizeInBytes:114048}, {yDesc:1048578}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048582}, {wDesc:1048583}, {convDesc:1048585}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048584}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048588}, {wDesc:1048589}, {convDesc:1048591}, {algo:6}, {workSpaceSizeInBytes:410880}, {yDesc:1048590}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048594}, {wDesc:1048595}, {convDesc:1048597}, {algo:1}, {workSpaceSizeInBytes:85504}, {yDesc:1048596}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048600}, {wDesc:1048601}, {convDesc:1048603}, {algo:1}, {workSpaceSizeInBytes:85504}, {yDesc:1048602}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048606}, {wDesc:1048607}, {convDesc:1048609}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048608}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048612}, {wDesc:1048613}, {convDesc:1048615}, {algo:6}, {workSpaceSizeInBytes:410880}, {yDesc:1048614}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048618}, {wDesc:1048619}, {convDesc:1048621}, {algo:1}, {workSpaceSizeInBytes:85504}, {yDesc:1048620}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048624}, {wDesc:1048625}, {convDesc:1048627}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048626}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048630}, {wDesc:1048631}, {convDesc:1048633}, {algo:6}, {workSpaceSizeInBytes:410880}, {yDesc:1048632}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048636}, {wDesc:1048637}, {convDesc:1048639}, {algo:1}, {workSpaceSizeInBytes:85504}, {yDesc:1048638}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048642}, {wDesc:1048643}, {convDesc:1048645}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048644}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048648}, {wDesc:1048649}, {convDesc:1048651}, {algo:1}, {workSpaceSizeInBytes:3192464}, {yDesc:1048650}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048654}, {wDesc:1048655}, {convDesc:1048657}, {algo:1}, {workSpaceSizeInBytes:0}, {yDesc:1048656}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1048660}, {wDesc:1048661}, {convDesc:1048663}, {algo:1}, {workSpaceSizeInBytes:1024}, {yDesc:1048662}, {beta:0.000000}]
