[cudnnSetConvolutionNdDescriptor] [{convDesc:1048579}, {padA:(3, 3)}, {filterStrideA:(2, 2)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048585}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048591}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048597}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048603}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048609}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048615}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048621}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048627}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048633}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048639}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048645}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048651}, {padA:(1, 1)}, {filterStrideA:(2, 2)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048657}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048663}, {padA:(0, 0)}, {filterStrideA:(2, 2)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048669}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048675}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048681}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048687}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048693}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
