[cudnnSetFilterNdDescriptor] [{filterDesc:1048577}, {filterDimA:(64, 3, 7, 7)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048583}, {filterDimA:(64, 64, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048589}, {filterDimA:(64, 64, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048595}, {filterDimA:(256, 64, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048601}, {filterDimA:(256, 64, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048607}, {filterDimA:(64, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048613}, {filterDimA:(64, 64, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048619}, {filterDimA:(256, 64, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048625}, {filterDimA:(64, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048631}, {filterDimA:(64, 64, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048637}, {filterDimA:(256, 64, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048643}, {filterDimA:(128, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048649}, {filterDimA:(128, 128, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048655}, {filterDimA:(512, 128, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048661}, {filterDimA:(512, 256, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048667}, {filterDimA:(128, 512, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048673}, {filterDimA:(128, 128, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048679}, {filterDimA:(512, 128, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048685}, {filterDimA:(128, 512, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048691}, {filterDimA:(128, 128, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048697}, {filterDimA:(512, 128, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048703}, {filterDimA:(128, 512, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048709}, {filterDimA:(128, 128, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048715}, {filterDimA:(512, 128, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048721}, {filterDimA:(128, 512, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048727}, {filterDimA:(128, 128, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048733}, {filterDimA:(512, 128, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048739}, {filterDimA:(128, 512, 1, 1)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048745}, {filterDimA:(128, 128, 3, 3)}]
[cudnnSetFilterNdDescriptor] [{filterDesc:1048751}, {filterDimA:(512, 128, 1, 1)}]
