[cudnnSetTensorNdDescriptor] [{tensorDesc:1048576}, {dimA:(1, 3, 224, 224)}, {strideA:(150528, 50176, 224, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048578}, {dimA:(1, 64, 112, 112)}, {strideA:(802816, 12544, 112, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048580}, {dimA:(1, 64, 112, 112)}, {strideA:(802816, 12544, 112, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048581}, {dimA:(1, 64, 1, 1)}, {strideA:(64, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048582}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048584}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048586}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048587}, {dimA:(1, 64, 1, 1)}, {strideA:(64, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048588}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048590}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048592}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048593}, {dimA:(1, 64, 1, 1)}, {strideA:(64, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048594}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048596}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048598}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048599}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048600}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048602}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048604}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048605}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048606}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048608}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048610}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048611}, {dimA:(1, 64, 1, 1)}, {strideA:(64, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048612}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048614}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048616}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048617}, {dimA:(1, 64, 1, 1)}, {strideA:(64, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048618}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048620}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048622}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048623}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048624}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048626}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048628}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048629}, {dimA:(1, 64, 1, 1)}, {strideA:(64, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048630}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048632}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048634}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048635}, {dimA:(1, 64, 1, 1)}, {strideA:(64, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048636}, {dimA:(1, 64, 56, 56)}, {strideA:(200704, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048638}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048640}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048641}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048642}, {dimA:(1, 256, 56, 56)}, {strideA:(802816, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048644}, {dimA:(1, 128, 56, 56)}, {strideA:(401408, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048646}, {dimA:(1, 128, 56, 56)}, {strideA:(401408, 3136, 56, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048647}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
